129085	г.~Москва	Звёздный бульвар, д.~17, стр.~1	ИТАР-ТАСС
129085	г.~Москва	Звёздный бульвар, д.~17, стр.~1	ИТАР-ТАСС
129085	г.~Москва	Звёздный бульвар, д.~17, стр.~1	ИТАР-ТАСС
119019	г.~Москва	ул.~Воздвиженка, д.~3/5	Российская государственная библиотека
191023	г.~Санкт-Петербург	ул.~Садовая, д.~18	Российская национальная библиотека
123298	г. Москва	3-я Хорошёвская ул., д. 17	Государственная публичная научно-техническая библиотека России
125190	г.~Москва	ул.~Усиевича, д.~20а	Всероссийский институт научной и технической информации РАН
117393	г.~Москва	ул.~Обручева, д.~52	Научно-производственное предприятие «Торий»	Иванову~И.И.
101000	г.~Москва	Моспочтамт, а/я 918	Всероссийский научно-исследовательский институт автоматики им.~Н.Л.~Духова	Иванову~И.И.
101000	г.~Москва	Моспочтамт, а/я 918	Всероссийский научно-исследовательский институт автоматики им.~Н.Л.~Духова	Иванову~И.И.
125412	г.~Москва	ул.~Ижорская, д.~13, стр.~2	Объединённый институт высоких температур РАН	Иванову~И.И.
141980	Московская~обл., г.~Дубна	ул.~Жолио-Кюри, д.~6	Объединённый институт ядерных исследований	Иванову~И.И.
108840	г.~Москва, г.~Троицк	ул.~Физическая, вл.~27.	Институт ядерных исследований РАН	Иванову~И.И.
410054	г.~Саратов	ул.~Политехническая, д.~77	Саратовский государственный технический университет им.~Гагарина~Ю.А.	Иванову~И.И.
119991	г.~Москва	ГСП-1, Ленинские горы, МГУ, д.~1, стр.~2	Московский государственный университет им.~М.В.~Ломоносова, физический факультет	Библиотека физического факультета МГУ
119991	г.~Москва	ГСП-1, Ленинские горы, МГУ, д.~1, стр.~2	Московский государственный университет им.~М.В.~Ломоносова Научно-исследовательский институт ядерной физики МГУ	Учёному секретарю
123182	г.~Москва	пл.~Академика Курчатова, д.~1	Национальный исследовательский центр «Курчатовский институт»	Учёному секретарю
117259	г.~Москва	ул.~б.~Черёмушкинская, д.~25	Институт теоретической и экспериментальной физики им.~А.И.~Алиханова Национального исследовательского центра «Курчатовский институт»	Учёному секретарю
142280	Московская~обл., г.~Протвино	пл.~Науки, д.~1	Институт физики высоких энергий им.~А.А.~Логунова Национального исследовательского центра «Курчатовский институт»	Учёному секретарю
188300	Ленинградская~обл., г.~Гатчина	Орлова роща	Петербургский институт ядерной физики им.~Б.П.~Константинова Национального исследовательского центра «Курчатовский институт»	Учёному секретарю
119991	г.~Москва	ГСП-1, Ленинский~пр., д.~53	Физический институт им.~Лебедева РАН	Учёному секретарю
142190	г.~Москва, г.~Троицк	ул.~Физическая, вл.~27	Институт ядерных исследований РАН	Учёному секретарю
141980	Московская~обл., г.~Дубна	ул.~Жолио-Кюри, д.~6	Объединённый институт ядерных исследований	Учёному секретарю
630000	г.~Новосибирск	ул.~Лаврентьева, д.~11	Институт ядерной физики им.~Г.И.~Будкера СО РАН	Учёному секретарю
630090	г.~Новосибирск	ул.~Пирогова, д.~1	Новосибирский государственный университет	Учёному секретарю
630073	г.~Новосибирск	пр-т~К.~Маркса, д.~20	Новосибирский государственный политехнический университет	Учёному секретарю
634050	г.~Томск	пр-т~Ленина, д.~30	Томский политехнический университет	Учёному секретарю
634055	г.~Томск	пр.~Академический, д.~10/4	Институт сильноточной электроники СО РАН	Учёному секретарю
603950	г.~Нижний Новгород	БОКС – 120, ул.~Ульянова, д.~46	Институт прикладной физики РАН	Учёному секретарю
607188	Нижегородская~обл., г.~Саров	пр.~Мира,~д.~37	Российский федеральный ядерный центр – Всероссийский научно-исследовательский институт экспериментальной физики	Учёному секретарю
456770	Челябинская~обл., г.~Снежинск	ул.~Васильева, д.~13, а/я~245	Российский федеральный ядерный центр – Всероссийский научно-исследовательский институт экспериментальной физики	Учёному секретарю
196641	г.~Санкт-Петербург	дор.~на Металлострой, д.~3, пос.~Металлострой	НИИ электрофизической аппаратуры им.~Д.В.~Ефремова	Учёному секретарю
115230	г.~Москва	Варшавское~ш., д.~46	НИИ технической физики и автоматизации	Учёному секретарю
249033	Калужская~обл., г.~Обнинск	пл.~Бондаренко, д.~1	Физико-энергетический институт	Учёному секретарю
117393	г.~Москва	ул.~Обручева, д.~52	Научно-производственное предприятие «Торий»	Учёному секретарю
141190	Московская обл., г.~Фрязино	ул.~Вокзальная, д.~2а, к.~1	Научно-производственное предприятие «Исток»	Учёному секретарю
117519	г.~Москва	Варшавское~ш., к.~132	АО «Московский радиотехнический институт РАН»	Учёному секретарю
117259	г.~Москва	ул.~б.~Черёмушкинская, д.~25	Институт теоретической и экспериментальной физики им.~А.И.~Алиханова Национального исследовательского центра «Курчатовский институт»	Иванову~И.И.
142190	г.~Москва, г.~Троицк	ул.~Физическая, вл.~27	Институт ядерных исследований РАН	Иванову~И.И.
141980	Московская~обл., г.~Дубна	ул.~Жолио-Кюри, д.~6	Объединённый институт ядерных исследований	Библиотека Объединённого института ядерных исследований
141980	Московская~обл., г.~Дубна	ул.~Жолио-Кюри, д.~6	Объединённый институт ядерных исследований	Лаборатория физики высоких энергий
141980	Московская~обл., г.~Дубна	ул.~Жолио-Кюри, д.~6	Объединённый институт ядерных исследований	Лаборатория ядерных реакций
607188	Нижегородская~обл., г.~Саров	пр.~Мира,~д.~37	Российский федеральный ядерный центр – Всероссийский научно-исследовательский институт экспериментальной физики	Институт ядерной и радиационной физики
141190	Московская обл., г.~Фрязино	ул.~Вокзальная, д.~2а, к.~1	Научно-производственное предприятие «Исток»	Иванову~И.И.
